Source ID,Target ID,Source,Target,Altered,Start Year Type,Start Year,End Year Type,End Year
10011695,10004292,John Stubbs,Samuel Fisher,FALSE,AF/IN,1618,BF/IN,1665
10011695,10004524,John Stubbs,George Fox,TRUE,AF/IN,1624,BF/IN,1675
10011695,10004625,John Stubbs,Benjamin Furly,TRUE,AF/IN,1636,BF/IN,1675
10008713,10000972,James Nayler,Gervase Benson,FALSE,AF/IN,1618,BF/IN,1660
10009470,10000972,Anthony Pearson,Gervase Benson,FALSE,AF/IN,1627,BF/IN,1666
10007531,10003322,William Lloyd,Richard Davies,FALSE,AF/IN,1635,BF/IN,1708
10006100,10004827,Thomas Holme,William Gibson,FALSE,AF/IN,1628,BF/IN,1666
10004827,10004824,William Gibson,Thomas Gibson,FALSE,AF/IN,1648,BF/IN,1684
10012614,10004811,Dorothy Waugh,Sarah Gibbons,FALSE,AF/IN,1636,BF/IN,1659
10006305,10001818,Francis Howgill,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10006305,10003058,Francis Howgill,Lord Protector Oliver Cromwell,FALSE,AF/IN,1618,BF/IN,1658
10006305,10004524,Francis Howgill,George Fox,FALSE,AF/IN,1624,BF/IN,1669
10008713,10006305,James Nayler,Francis Howgill,FALSE,AF/IN,1618,BF/IN,1660
10011100,10006305,Martha Simmonds,Francis Howgill,FALSE,AF/IN,1624,BF/IN,1665
10006305,10000411,Francis Howgill,John Audland,FALSE,AF/IN,1630,BF/IN,1664
10006305,10003087,Francis Howgill,William Crouch,FALSE,AF/IN,1628,BF/IN,1669
10006305,10004141,Francis Howgill,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10009527,10003161,Mary Penington,Thomas Curtis,FALSE,AF/IN,1623,BF/IN,1682
10009527,10009524,Mary Penington,Isaac Penington,FALSE,AF/IN,1623,BF/IN,1661
10009527,10009526,Mary Penington,John Penington,FALSE,AF/IN,1655,BF/IN,1682
10009527,10003945,Mary Penington,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1682
10009531,10009527,William Penn,Mary Penington,FALSE,AF/IN,1644,BF/IN,1682
10002203,10000175,William Caton,William Ames,FALSE,AF/IN,1636,BF/IN,1662
10005731,10002385,Roger Haydock,John Cheyney,FALSE,AF/IN,1674,BF/IN,1694
10003859,10003858,Solomon Eccles,John Eccles,FALSE,AF/IN,1668,BF/IN,1682
10011613,10003859,John Story,Solomon Eccles,FALSE,AF/IN,1617,BF/IN,1681
10012893,10003859,John Wilkinson,Solomon Eccles,FALSE,AF/IN,1652,BF/IN,1682
10008161,10004524,William Mead,George Fox,FALSE,AF/IN,1627,BF/IN,1691
10008161,10004170,William Mead,Margaret Fell,FALSE,AF/IN,1627,BF/IN,1702
10007210,10004170,Thomas Lawson,Margaret Fell,FALSE,AF/IN,1630,BF/IN,1691
10009307,10007210,Alexander Parker,Thomas Lawson,FALSE,AF/IN,1630,BF/IN,1689
10010806,10005052,Thomas Scott,Dorothea Gotherson,FALSE,AF/IN,1611,BF/IN,1635
10009524,10001818,Isaac Penington,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1661
10009524,10002946,Isaac Penington,Matthew Cradock,FALSE,AF/IN,1590,BF/IN,1641
10009524,10003063,Isaac Penington,John Crook,FALSE,AF/IN,1616,BF/IN,1661
10009524,10003945,Isaac Penington,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1661
10009524,10005309,Isaac Penington,Sir Richard Gurney,FALSE,AF/IN,1584,BF/IN,1647
10009524,10007874,Isaac Penington,Randall Mainwaring,FALSE,AF/IN,1588,BF/IN,1652
10009524,10008713,Isaac Penington,James Nayler,FALSE,AF/IN,1618,BF/IN,1660
10009525,10009524,Sir John Penington,Isaac Penington,FALSE,AF/IN,1584,BF/IN,1646
10009527,10009524,Mary Penington,Isaac Penington,FALSE,AF/IN,1623,BF/IN,1661
10009524,10008309,Isaac Penington,John Milton,TRUE,AF/IN,1608,BF/IN,1661
10009524,10009244,Isaac Penington,Nathan Paget,TRUE,AF/IN,1615,BF/IN,1661
10009584,10009524,John Perrot,Isaac Penington,FALSE,AF/IN,1584,BF/IN,1661
10013070,10009524,Sir John Wollaston,Isaac Penington,FALSE,AF/IN,1585,BF/IN,1658
10009524,10007606,Isaac Penington,Christopher Love,FALSE,AF/IN,1618,BF/IN,1651
10001818,10001773,Edward Burrough,John Bunyan,FALSE,AF/IN,1633,BF/IN,1663
10003063,10001818,John Crook,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10003087,10001818,William Crouch,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10003478,10001818,William Dewsbury,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10009524,10001818,Isaac Penington,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1661
10009584,10001818,John Perrot,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10011671,10001818,King Charles II,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10006305,10001818,Francis Howgill,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10007166,10001818,Gilbert Latey,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10008713,10001818,James Nayler,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1660
10003945,10001818,Thomas Ellwood,Edward Burrough,FALSE,AF/IN,1639,BF/IN,1663
10004524,10001818,George Fox,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10011613,10003945,John Story,Thomas Ellwood,FALSE,AF/IN,1639,BF/IN,1681
10011613,10004295,John Story,Ralph Fitch,FALSE,AF/IN,1571,BF/IN,1611
10012813,10011613,George Whitehead,John Story,FALSE,AF/IN,1637,BF/IN,1681
10012893,10011613,John Wilkinson,John Story,FALSE,AF/IN,1652,BF/IN,1681
10011613,10001969,John Story,Thomas Camm,FALSE,AF/IN,1640,BF/IN,1681
10011613,10003859,John Story,Solomon Eccles,FALSE,AF/IN,1617,BF/IN,1681
10011613,10003161,John Story,Thomas Curtis,FALSE,AF/IN,1602,BF/IN,1681
10011114,10005737,William Simpson,Denis Hayford,FALSE,AF/IN,1635,BF/IN,1671
10011114,10003161,William Simpson,Thomas Curtis,FALSE,AF/IN,1627,BF/IN,1671
10003478,10001818,William Dewsbury,Edward Burrough,FALSE,AF/IN,1633,BF/IN,1663
10003478,10003063,William Dewsbury,John Crook,FALSE,AF/IN,1621,BF/IN,1688
10004524,10003478,George Fox,William Dewsbury,FALSE,AF/IN,1624,BF/IN,1688
10012893,10004524,John Wilkinson,George Fox,FALSE,AF/IN,1652,BF/IN,1683
10012893,10007992,John Wilkinson,Charles Marshall,FALSE,AF/IN,1652,BF/IN,1683
10012893,10011613,John Wilkinson,John Story,FALSE,AF/IN,1652,BF/IN,1681
10012893,10003859,John Wilkinson,Solomon Eccles,FALSE,AF/IN,1652,BF/IN,1682
10012893,10009307,John Wilkinson,Alexander Parker,FALSE,AF/IN,1652,BF/IN,1683
10012062,10003162,Rebecca Travers,Alice Curwen,FALSE,AF/IN,1619,BF/IN,1679
10009470,10000099,Anthony Pearson,Thomas Aldam,FALSE,AF/IN,1627,BF/IN,1660
10009470,10004141,Anthony Pearson,Richard Farnworth,FALSE,AF/IN,1630,BF/IN,1666
10009470,10004170,Anthony Pearson,Margaret Fell,FALSE,AF/IN,1627,BF/IN,1666
10009470,10005872,Anthony Pearson,Sir Arthur Hesilrige,FALSE,AF/IN,1627,BF/IN,1661
10010288,10009470,Sir Thomas Riddell,Anthony Pearson,FALSE,AF/IN,1627,BF/IN,1652
10009470,10000972,Anthony Pearson,Gervase Benson,FALSE,AF/IN,1627,BF/IN,1666
